"region","age","cohort","median","iqr"
"australia_new zealand",55,1991,0.0176253508394534,0.0027537432388574
"australia_new zealand",56,1991,0.0183132968856614,0.00283138813835535
"australia_new zealand",57,1991,0.0190257303684723,0.00290833645130465
"australia_new zealand",58,1991,0.0197641152071578,0.00298473052342161
"australia_new zealand",59,1991,0.0205301939898242,0.00306086786164258
"australia_new zealand",60,1991,0.0213259655625018,0.00313720138572603
"australia_new zealand",61,1991,0.0221536539145835,0.00321432652984424
"australia_new zealand",62,1991,0.0230163083667287,0.00329312591546273
"australia_new zealand",63,1991,0.0239170277388669,0.00337441943554859
"australia_new zealand",64,1991,0.0248589137052193,0.00345896880192504
"australia_new zealand",65,1991,0.025845037899272,0.00354745712057548
"australia_new zealand",66,1991,0.0268784236943199,0.00364049335834909
"australia_new zealand",67,1991,0.0279629342621673,0.00373893209398386
"australia_new zealand",68,1991,0.0291024052026736,0.00384354175987949
"australia_new zealand",69,1991,0.0303006172276881,0.00395502725401923
"australia_new zealand",70,1991,0.0315612993445124,0.00407407059366995
"australia_new zealand",71,1991,0.0328881190505493,0.00420134113147617
"australia_new zealand",72,1991,0.03428613744769,0.00433795602019268
"australia_new zealand",73,1991,0.0357603907339446,0.00448488937674142
"australia_new zealand",74,1991,0.0373158376508841,0.0046429161200324
"australia_new zealand",75,1991,0.0389573276634221,0.00481257861818494
"australia_new zealand",76,1991,0.0406895728885371,0.00499418875025948
"australia_new zealand",77,1991,0.0425198653615031,0.00518906340560751
"australia_new zealand",78,1991,0.0444557292046119,0.00539858825174577
"australia_new zealand",79,1991,0.0465047974503651,0.00562420246003568
"australia_new zealand",80,1991,0.0486747467602172,0.00586743388692161
"australia_new zealand",81,1991,0.0509732417226462,0.00612990769246766
"australia_new zealand",82,1991,0.0534130875179209,0.00641493659401374
"australia_new zealand",83,1991,0.0560079749872352,0.00672574352619994
"australia_new zealand",84,1991,0.0587722488928545,0.00706538146113974
"australia_new zealand",85,1991,0.0617207979223922,0.0074367094806846
"australia_new zealand",86,1991,0.0648688911983397,0.00784239600246632
"australia_new zealand",87,1991,0.0682421347354714,0.00828878744708506
"australia_new zealand",88,1991,0.0718678338399103,0.00878215564311778
"australia_new zealand",89,1991,0.075774312626008,0.00932857129694593
"australia_new zealand",90,1991,0.0799904495297026,0.00993393975212051
"australia_new zealand",91,1991,0.0845453457950338,0.0106040267186039
"australia_new zealand",92,1991,0.0895006059577668,0.0113535940002823
"australia_new zealand",93,1991,0.0949256197058104,0.0121968601160964
"australia_new zealand",94,1991,0.100895777057928,0.01314715480196
"australia_new zealand",95,1991,0.107491672417993,0.0142169805313161
"australia_new zealand",96,1991,0.11479812755759,0.015418052892343
"australia_new zealand",97,1991,0.122960784828742,0.0167798319228172
"australia_new zealand",98,1991,0.132137621973082,0.0183288757971414
"australia_new zealand",99,1991,0.142493764558096,0.0200875786791017
"australia_new zealand",100,1991,0.154197869883331,0.0220738511981274
"australia_new zealand",15,1992,0.000117399363590755,3.97510212566399e-05
"australia_new zealand",16,1992,0.000274278501545368,8.71511428445473e-05
"australia_new zealand",17,1992,0.00046829982538739,0.000142320714045056
"australia_new zealand",18,1992,0.000696729858003039,0.000205086366335308
"australia_new zealand",19,1992,0.00095681861027856,0.000275082080108604
"australia_new zealand",20,1992,0.00124660315900904,0.000351471462899056
"australia_new zealand",21,1992,0.00156466859471871,0.000424239507233864
"australia_new zealand",22,1992,0.00190983901458037,0.000493302537765828
"australia_new zealand",23,1992,0.00228156608988118,0.000559096119653958
"australia_new zealand",24,1992,0.00267991505626844,0.000622672630148486
"australia_new zealand",25,1992,0.00310587003774896,0.00068621185035471
"australia_new zealand",26,1992,0.00354874757210348,0.000752077131203805
"australia_new zealand",27,1992,0.00401037461076618,0.000821364557131176
"australia_new zealand",28,1992,0.00449178145517823,0.000893968349747126
"australia_new zealand",29,1992,0.00499308975000258,0.000968497307290363
"australia_new zealand",30,1992,0.00551395368090277,0.00104268703398759
"australia_new zealand",31,1992,0.00601172802298856,0.0011137110292259
"australia_new zealand",32,1992,0.00648722348641786,0.00118036347071893
"australia_new zealand",33,1992,0.00694247923647708,0.00124254212096935
"australia_new zealand",34,1992,0.00738036128492502,0.0013008613058247
"australia_new zealand",35,1992,0.00780404663257252,0.00135613995791243
"australia_new zealand",36,1992,0.00820848868230155,0.00141057664977302
"australia_new zealand",37,1992,0.00859595216043021,0.00146455597684644
"australia_new zealand",38,1992,0.00896854971367043,0.00151828166089967
"australia_new zealand",39,1992,0.00932840055601343,0.00157193272959569
"australia_new zealand",40,1992,0.00967772104689436,0.00162576075098934
"australia_new zealand",41,1992,0.0100380662703631,0.00168172696769648
"australia_new zealand",42,1992,0.0104117838772834,0.0017401896510446
"australia_new zealand",43,1992,0.0108005514048818,0.00180131888823644
"australia_new zealand",44,1992,0.0112053691877807,0.00186509399066858
"australia_new zealand",45,1992,0.0116266071666931,0.00193131788894368
"australia_new zealand",46,1992,0.0120676880865892,0.00200127146903697
"australia_new zealand",47,1992,0.0125330295979597,0.00207311487895367
"australia_new zealand",48,1992,0.0130225075012991,0.00214665055112505
"australia_new zealand",49,1992,0.0135358153067256,0.00222160243014935
"australia_new zealand",50,1992,0.0140724597348088,0.0022976131461088
"australia_new zealand",51,1992,0.0146317275582013,0.00237422303769665
"australia_new zealand",52,1992,0.0152131551240246,0.00245114690843468
"australia_new zealand",53,1992,0.0158165131497312,0.00252810727683436
"australia_new zealand",54,1992,0.016441807883147,0.00260483787134513
"australia_new zealand",55,1992,0.0170892597971057,0.00268108838917363
"australia_new zealand",56,1992,0.0177592997520358,0.0027566544482213
"australia_new zealand",57,1992,0.0184530668918698,0.00283150731877197
"australia_new zealand",58,1992,0.0191719568941452,0.00290580601373779
"australia_new zealand",59,1992,0.0199176442501009,0.00297986787940682
"australia_new zealand",60,1992,0.0206920505480892,0.00305415516600681
"australia_new zealand",61,1992,0.0214972815402308,0.00312921189575093
"australia_new zealand",62,1992,0.0223362330198996,0.0032058420886359
"australia_new zealand",63,1992,0.0232118380866111,0.003284775751177
"australia_new zealand",64,1992,0.0241270237681729,0.00336667249286961
"australia_new zealand",65,1992,0.0250846932445804,0.00345212604804192
"australia_new zealand",66,1992,0.0260877697863654,0.00354176277638851
