"region","cohort","ex","tfr"
"northern africa and western asia",1984,75.3388658656378,2.41428111677852
"northern africa and western asia",1985,75.6824630246027,2.39884882818792
"northern africa and western asia",1986,76.2511162308997,2.38302647516779
"northern africa and western asia",1987,76.5946777931778,2.36619038255034
"northern africa and western asia",1988,76.8234139743978,2.34863084295302
"northern africa and western asia",1989,77.1681289933715,2.33071344026846
"northern africa and western asia",1990,77.7781644562174,2.3124764
"northern africa and western asia",1991,78.2695970243939,2.29395794765101
"northern africa and western asia",1992,78.5855967773716,2.25318664
"northern africa and western asia",1993,78.8823225589433,2.21131399
"northern africa and western asia",1994,79.1634710857127,2.17269612
"northern africa and western asia",1995,79.4321014452757,2.13685211
"northern africa and western asia",1996,79.6904891061955,2.1071616194
"northern africa and western asia",1997,79.9400390187203,2.0912941217
"northern africa and western asia",1998,80.2815026195074,2.0753145681
"northern africa and western asia",1999,80.630005569604,2.0590584254
"latin america and the caribbean",1950,64.7913053171785,3.82550914362416
"latin america and the caribbean",1951,65.476545513945,3.73705690268456
"latin america and the caribbean",1952,65.8518533594208,3.65009453087248
"latin america and the caribbean",1953,66.1840311971904,3.57941343758389
"latin america and the caribbean",1954,66.4459858978717,3.54374580067114
"latin america and the caribbean",1955,66.7168167371985,3.47630026510067
"latin america and the caribbean",1956,66.9966806756529,3.40054536912752
"latin america and the caribbean",1957,67.2820359668719,3.3166518779453
"latin america and the caribbean",1958,67.5684400032256,3.23466259326879
"latin america and the caribbean",1959,67.8515581957822,3.15878252887785
"latin america and the caribbean",1960,68.1396755353764,3.08844126684564
"latin america and the caribbean",1961,68.4576560022179,3.0230686765953
"latin america and the caribbean",1962,68.8594968400162,2.96297222483221
"latin america and the caribbean",1963,69.438987981122,2.91293299463087
"latin america and the caribbean",1964,70.0002782282091,2.86341178926175
"latin america and the caribbean",1965,70.4687023544133,2.81475261879195
"latin america and the caribbean",1966,70.7950322451523,2.76976889597315
"latin america and the caribbean",1967,71.1236284357318,2.73360110067114
"latin america and the caribbean",1968,71.4563065371682,2.69978157583893
"latin america and the caribbean",1969,71.7947018964673,2.66804574026846
"latin america and the caribbean",1970,72.1402150508254,2.60696341127382
"latin america and the caribbean",1971,72.4328426165957,2.53648264761141
"latin america and the caribbean",1972,72.611213873515,2.4987649261745
"latin america and the caribbean",1973,72.7967291588469,2.46823826778524
"latin america and the caribbean",1974,72.9883483024796,2.43837996845638
"latin america and the caribbean",1975,73.1941249252332,2.40964417986577
"latin america and the caribbean",1976,73.4917032399503,2.37058919127517
"latin america and the caribbean",1977,73.7719644504358,2.32713811073825
"latin america and the caribbean",1978,74.0357194087586,2.28756788389262
"latin america and the caribbean",1979,74.2844466008082,2.27499239634564
"latin america and the caribbean",1980,74.5204927228106,2.26883997114094
"latin america and the caribbean",1981,74.8120857246269,2.23689406375839
"latin america and the caribbean",1982,75.1825936515135,2.21209046979866
"latin america and the caribbean",1983,75.5180551214703,2.19003700268456
"latin america and the caribbean",1984,75.8168672743554,2.17003534899329
"latin america and the caribbean",1985,76.0322329006945,2.14997508791946
"latin america and the caribbean",1986,76.25030287673,2.12243171073825
"latin america and the caribbean",1987,76.5624989077294,2.09804836241611
"latin america and the caribbean",1988,76.9027296735061,2.07866731610738
"latin america and the caribbean",1989,77.2388268446437,2.07023676845638
"latin america and the caribbean",1990,77.5717069554284,2.07489914899329
"latin america and the caribbean",1991,77.9408671312939,2.07855875369127
"latin america and the caribbean",1992,78.3749332825906,2.05936951908725
"latin america and the caribbean",1993,78.7918853046312,2.04049464725503
"latin america and the caribbean",1994,79.1883524306157,2.02215432892953
"latin america and the caribbean",1995,79.5625192494739,2.00435602981879
"latin america and the caribbean",1996,79.832139185463,1.98710743713087
"latin america and the caribbean",1997,80.0246000258835,1.97041581607382
"latin america and the caribbean",1998,80.226371832278,1.95435093648322
"latin america and the caribbean",1999,80.4306554131309,1.93901519772483
"central and southern asia",1950,47.0352148478595,5.3551892442953
"central and southern asia",1951,47.6096575229174,5.27854635234899
"central and southern asia",1952,48.2938641223269,5.19812756308725
"central and southern asia",1953,48.9724871267188,5.11476061006711
"central and southern asia",1954,49.6341244028011,5.02880135637584
"central and southern asia",1955,50.2617650240912,4.94060566510067
"central and southern asia",1956,50.8369248422797,4.85052939932886
"central and southern asia",1957,51.3990252599538,4.75886488389262
"central and southern asia",1958,51.956079175792,4.66569960738255
"central and southern asia",1959,52.5018560404851,4.54669364697987
"central and southern asia",1960,52.9893498060518,4.39776526442953
"central and southern asia",1961,53.6088576908382,4.24645615100671
"central and southern asia",1962,54.3250945989469,4.09374054765101
"central and southern asia",1963,55.0662338380098,3.94092005167785
"central and southern asia",1964,55.8417001502901,3.78916001543624
"central and southern asia",1965,56.8329517835746,3.66680575369127
"central and southern asia",1966,58.0302720998069,3.58526867449664
"central and southern asia",1967,58.8710571278974,3.50483746308725
"central and southern asia",1968,59.7237399530579,3.42624976711409
"central and southern asia",1969,60.584782874392,3.34915215637584
"central and southern asia",1970,61.0194095063965,3.27319120067114
"central and southern asia",1971,61.3892658782641,3.20229554703691
"central and southern asia",1972,61.7489678643271,3.14888931967517
"central and southern asia",1973,62.0937601215059,3.09747215503356
"central and southern asia",1974,62.4205220775819,3.01111294953658
"central and southern asia",1975,62.7282860052373,2.96236664395872
"central and southern asia",1976,63.0204939947129,2.9132102821396
"central and southern asia",1977,63.3113452175769,2.87989822186242
"central and southern asia",1978,63.6152652046508,2.83525829582752
"central and southern asia",1979,63.94278499406,2.78816010807785
"central and southern asia",1980,64.2996176598591,2.72253349194631
"central and southern asia",1981,64.6820002488871,2.63497023489933
"central and southern asia",1982,65.064481069504,2.5506797114094
"central and southern asia",1983,65.5360822922885,2.51399746510067
"central and southern asia",1984,66.1002960962788,2.49032440134228
"central and southern asia",1985,66.6126563168783,2.47523397351342
"central and southern asia",1986,67.064154040541,2.46628531222383
"central and southern asia",1987,67.4750288555564,2.44442690735671
"central and southern asia",1988,67.8708406246949,2.42471176835839
"central and southern asia",1989,68.274493052991,2.40571052906946
"central and southern asia",1990,68.9220037959594,2.38690158390302
"central and southern asia",1991,69.6150857475786,2.36776260452215
"central and southern asia",1992,70.0731631810346,2.34777200448993
"central and southern asia",1993,70.5273303416861,2.32644736023993
"central and southern asia",1994,70.9796117714552,2.30397605707617
"central and southern asia",1995,71.4346490159176,2.28079695084967
"central and southern asia",1996,72.0879153614926,2.25734938926141
"central and southern asia",1997,72.7381516219723,2.23407271756242
"central and southern asia",1998,73.333240396123,2.21146760200067
"central and southern asia",1999,73.8715284399177,2.18991071563121
"europe and northern america",1950,75.7567789920548,1.92500828380134
"europe and northern america",1951,76.1635476167397,1.91914909577819
